procedure_id,member_id,predicted_position,confidence,explanation,run_name
2025-2097,101039,Against,0.85,"Paolo Borchia, as a member of the right-wing Lega party in Italy, typically aligns with positions that prioritize national sovereignty and opposes measures perceived as undermining institutional integrity. Waiving immunity for a fellow MEP may be seen as a precedent that weakens parliamentary protections, which his party often resists.",mistral-3.5
2025-2097,101585,For,0.85,"Niels Fuglsang is a member of the Social Democrats (S&D) in the European Parliament, which generally supports transparency and accountability in public office. As a Danish MEP, he is likely to align with the S&D group's stance on waiving immunity when legal investigations are involved, especially if the case pertains to alleged misconduct.",mistral-3.5
2025-2097,103246,Against,0.9,"Auke Zijlstra is a member of the European Conservatives and Reformists (ECR) group, which typically opposes lifting parliamentary immunity unless there is overwhelming evidence of serious misconduct. As a Dutch MEP from the JA21 party, he has shown a strong preference for protecting parliamentary privileges and resisting what he views as politically motivated legal actions.",mistral-3.5
2025-2097,103381,For,0.95,"Terry Reintke is a member of the Greens/EFA group, which generally supports transparency and accountability in politics. She has consistently voted in favor of lifting immunity when allegations of misconduct are involved, aligning with her party's stance on ethical governance.",mistral-3.5
2025-2097,106936,For,0.95,"Daniel Freund is a Green Party MEP known for his strong stance on transparency, accountability, and anti-corruption. As a member of the Greens/EFA group, he has consistently supported lifting immunity when allegations involve potential misuse of public office or conflicts of interest, which aligns with the case of Daniel Attard.",mistral-3.5
2025-2097,107212,Against,0.85,"Andrey Novakov, a Bulgarian MEP from the EPP group, generally supports parliamentary immunity as a safeguard for elected representatives. His party and group have historically opposed lifting immunity unless there is overwhelming evidence of serious misconduct, which is not indicated in this case.",mistral-3.5
2025-2097,110673,For,0.85,"Ana Miguel Pedro is a member of the Portuguese Socialist Party (PS) and aligns with the Progressive Alliance of Socialists and Democrats (S&D) in the European Parliament. S&D typically supports transparency and accountability in EU institutions, including waiving immunity when legal proceedings are warranted. Her voting record shows consistent support for such measures.",mistral-3.5
2025-2097,111412,For,0.85,"Villy Søvndal, a former leader of the Danish Socialist People's Party (SF) and a member of the Greens/EFA group, has historically supported transparency and accountability in politics. As a left-wing MEP, he is likely to favor lifting immunity when legal proceedings are involved, especially if the case concerns alleged misconduct.",mistral-3.5
2025-2097,112744,Against,0.85,"Tonino Picula, a Croatian MEP from the Social Democrats (SDP), typically aligns with progressive and centre-left positions. Waiving immunity is often seen as a contentious measure, and SDP members tend to prioritize due process and institutional protections unless clear evidence of wrongdoing is presented. His voting record shows a preference for cautious, rule-of-law-based approaches.",mistral-3.5
2025-2097,112747,For,0.85,"Romana Jerković is a member of the Social Democratic Party of Croatia (SDP), which generally supports transparency and accountability in public office. As a progressive MEP, she is likely to vote in favor of waiving immunity when allegations of misconduct are involved, aligning with her party's stance on ethical governance.",mistral-3.5
2025-2097,112748,For,0.85,"Biljana Borzan is a member of the Social Democrats (SDP) in Croatia and the Progressive Alliance of Socialists and Democrats (S&D) in the European Parliament. The S&D group generally supports transparency and accountability, including the waiver of immunity for MEPs when legal proceedings are warranted. Borzan has a record of supporting anti-corruption and rule-of-law measures.",mistral-3.5
