procedure_id,member_id,predicted_position,confidence,explanation,run_name
2025-0581,101039,Against,0.85,"Paolo Borchia, as a member of the Lega party in Italy, typically aligns with conservative and Eurosceptic positions. The Lega has historically opposed EU-level tax harmonization, particularly on products like tobacco, viewing it as an overreach of EU authority. His voting record reflects skepticism toward centralized fiscal policies.",mistral-3.5
2025-0581,101585,For,0.9,"Niels Fuglsang is a member of the Social Democrats (S&D group) in the European Parliament, which generally supports public health measures and progressive taxation. As a Danish MEP, he aligns with his party's stance on reducing tobacco consumption through fiscal policies like excise duties.",mistral-3.5
2025-0581,103246,Against,0.9,"Auke Zijlstra is a member of the Dutch Forum for Democracy (FvD), a Eurosceptic party that opposes EU overreach and favors national sovereignty. FvD typically opposes EU-wide tax harmonization, including excise duties, as it views such measures as infringing on member states' fiscal autonomy.",mistral-3.5
2025-0581,103381,For,0.95,"Terry Reintke is a Green Party MEP, which strongly advocates for public health measures, including stricter regulations on tobacco products. She has consistently supported EU initiatives to reduce tobacco consumption and align with health-focused policies.",mistral-3.5
2025-0581,106936,For,0.95,"Daniel Freund is a member of the Greens/EFA group, which consistently advocates for public health measures and stricter regulation of harmful products like tobacco. His voting record aligns with progressive, health-focused policies, including support for higher excise duties to discourage tobacco use.",mistral-3.5
2025-0581,107212,Against,0.85,"Andrey Novakov is a member of the ECR Group and GERB party in Bulgaria, which generally opposes excessive EU regulation and taxation. His voting record shows skepticism toward harmonized excise duties, favoring national sovereignty in fiscal matters.",mistral-3.5
2025-0581,110673,For,0.9,"Ana Miguel Pedro is a member of the Portuguese Socialist Party (PS), which generally supports public health measures and EU-wide harmonization of excise duties to combat illicit trade and reduce tobacco consumption. Her voting record aligns with progressive health policies and fiscal measures aimed at discouraging harmful products.",mistral-3.5
2025-0581,111412,For,0.9,"Villy Søvndal, a member of the Socialist Group (S&D) in the European Parliament, has historically supported public health measures and progressive taxation. As a former Danish minister and MEP, he aligns with left-wing policies that often advocate for higher excise duties on tobacco to reduce consumption and fund healthcare.",mistral-3.5
2025-0581,112744,For,0.85,"Tonino Picula is a member of the Social Democratic Party of Croatia (SDP), which generally supports public health measures and EU-wide harmonization of tax policies. As a long-standing MEP, he has historically aligned with progressive and pro-integrationist positions, likely favoring stricter excise duties on tobacco to reduce consumption and align with EU health objectives.",mistral-3.5
2025-0581,112747,For,0.9,"Romana Jerković is a member of the Social Democratic Party of Croatia (SDP), which generally supports public health measures and progressive taxation. As a left-leaning MEP, she is likely to back stricter excise duties on tobacco to reduce consumption and fund healthcare systems.",mistral-3.5
2025-0581,112748,For,0.9,"Biljana Borzan is a member of the Social Democrats (SDP) in Croatia and part of the Progressive Alliance of Socialists and Democrats (S&D) group in the European Parliament. The S&D group generally supports public health measures, including stricter regulations on tobacco products to reduce consumption and protect citizens. Borzan has previously advocated for health-related policies and consumer protection.",mistral-3.5
2025-0581,113523,For,0.85,"Peter Agius, as a Maltese MEP from the centre-right European People's Party (EPP), typically aligns with EU-wide fiscal and health policies. Malta has historically supported harmonized excise duties on tobacco to combat smuggling and align with public health goals. His voting record shows consistent support for EU-wide regulatory frameworks.",mistral-3.5
