procedure_id,member_id,predicted_position,confidence,explanation,run_name
2026-0050,101039,For,0.9,"Paolo Borchia, as a member of the European People's Party (EPP) from Italy, typically supports EU solidarity mechanisms like the European Globalisation Adjustment Fund (EGF), which aids workers displaced by globalisation. His voting record aligns with pro-EU integration and economic support policies, making a 'For' vote likely.",mistral-3.5
2026-0050,101585,For,0.95,"Niels Fuglsang is a member of the Social Democrats (S&D) group in the European Parliament, which generally supports social protection measures, including the European Globalisation Adjustment Fund (EGF). As a Danish MEP, he has consistently voted in favor of EU initiatives aimed at supporting workers affected by economic transitions, aligning with his party's pro-labor and pro-welfare stance.",mistral-3.5
2026-0050,103246,Against,0.9,"Auke Zijlstra is a member of the European Conservatives and Reformists (ECR) group, which typically opposes EU funding mechanisms like the European Globalisation Adjustment Fund, viewing them as unnecessary EU intervention. His party, the Dutch JA21, is also critical of EU spending and favours national solutions over EU-level support.",mistral-3.5
2026-0050,103381,For,0.95,"Terry Reintke is a Green MEP with a strong focus on social justice and workers' rights. The European Globalisation Adjustment Fund (EGF) supports workers affected by globalisation, aligning with her party's priorities on solidarity and economic fairness.",mistral-3.5
2026-0050,106936,For,0.95,"Daniel Freund is a member of the Greens/EFA group, which consistently supports social and economic measures to assist workers affected by globalization. The European Globalisation Adjustment Fund aligns with his party's priorities of solidarity and just transition.",mistral-3.5
2026-0050,107212,For,0.9,"Andrey Novakov is a member of the EPP (European People's Party), which generally supports EU solidarity mechanisms like the European Globalisation Adjustment Fund (EGF). As a Bulgarian MEP, he has historically backed measures to assist workers affected by economic shifts, aligning with the EGF's purpose. His voting record shows support for similar EU funding initiatives.",mistral-3.5
2026-0050,110673,For,0.95,"Ana Miguel Pedro is a member of the Portuguese Socialist Party (PS) and part of the S&D group in the European Parliament, which generally supports social and economic solidarity measures, including the European Globalisation Adjustment Fund (EGF). The EGF aims to assist workers displaced by globalisation, aligning with her party's pro-worker and pro-social cohesion stance.",mistral-3.5
2026-0050,111412,For,0.95,"Villy Søvndal, a Danish MEP from the Social Democrats (S&D group), has a strong pro-European and social welfare-oriented profile. The European Globalisation Adjustment Fund (EGF) aligns with his support for EU solidarity mechanisms and worker protection, particularly in cases of economic displacement.",mistral-3.5
2026-0050,112744,For,0.95,"Tonino Picula is a member of the Socialists and Democrats (S&D) group in the European Parliament, which generally supports social protection measures like the European Globalisation Adjustment Fund (EGF). As a Croatian MEP from a centre-left party, he has consistently backed EU solidarity mechanisms to assist workers affected by economic transitions.",mistral-3.5
2026-0050,112747,For,0.95,"Romana Jerković is a member of the Socialists and Democrats (S&D) group, which generally supports social protection measures like the European Globalisation Adjustment Fund (EGF) to assist displaced workers. As a Croatian MEP, she has consistently backed EU solidarity mechanisms and labor market interventions.",mistral-3.5
2026-0050,112748,For,0.95,"Biljana Borzan is a member of the Social Democratic Party of Croatia (SDP) and the Progressive Alliance of Socialists and Democrats (S&D) group in the European Parliament, which generally supports social protection measures and EU solidarity mechanisms like the European Globalisation Adjustment Fund (EGF). Her voting record shows consistent support for worker protection and economic cohesion policies.",mistral-3.5
2026-0050,113523,For,0.85,"Peter Agius, as a Maltese MEP, is typically aligned with the European People's Party (EPP) or similar centre-right groups, which generally support EU solidarity mechanisms like the European Globalisation Adjustment Fund (EGF). His voting record shows consistent support for social and economic cohesion measures, including worker assistance programs.",mistral-3.5
2026-0050,118859,For,0.95,"Roberta Metsola, as President of the European Parliament and a member of the EPP, has consistently supported EU solidarity mechanisms, including the European Globalisation Adjustment Fund (EGF). She has advocated for worker protection and economic resilience, aligning with the EGF's purpose to assist displaced workers. Her voting record reflects strong pro-EU integration and social cohesion positions.",mistral-3.5
