procedure_id,member_id,predicted_position,confidence,explanation,run_name
2025-0580,101039,Against,0.9,"Paolo Borchia, a member of the far-right Lega party in Italy, has consistently opposed EU regulations perceived as overreach, particularly those affecting national sovereignty or economic interests. His party has historically resisted tax harmonization measures, especially on products like tobacco, viewing them as excessive interference.",mistral-3.5
2025-0580,101585,For,0.9,"Niels Fuglsang is a member of the Social Democrats (S&D group) in the European Parliament, which generally supports public health measures and progressive taxation. As a Danish MEP, he aligns with his party's stance on reducing tobacco consumption through higher excise duties to discourage use and fund healthcare systems.",mistral-3.5
2025-0580,103246,Against,0.9,"Auke Zijlstra is a member of the Dutch Party for Freedom (PVV), which advocates for limited government intervention and opposes higher taxes, particularly on consumer goods. The PVV has historically opposed EU-level tax harmonization, including excise duties, as it views such measures as infringing on national sovereignty.",mistral-3.5
2025-0580,103381,For,0.95,"Terry Reintke is a member of the Greens/EFA group, which strongly advocates for public health measures and environmental protection. The recast of excise duties on tobacco aligns with her party's support for stricter regulations to reduce tobacco consumption and its health impacts.",mistral-3.5
2025-0580,106936,For,0.95,"Daniel Freund is a Green Party MEP, which strongly advocates for public health measures and environmental protection. The recast of tobacco excise duties aligns with Green priorities to reduce tobacco consumption through higher taxation and stricter regulation.",mistral-3.5
2025-0580,107212,Against,0.85,"Andrey Novakov is a member of the ECR group and GERB party in Bulgaria, which generally opposes excessive EU regulation and taxation. As a conservative MEP, he is likely to vote against increased excise duties on tobacco, viewing it as an overreach of EU authority and a burden on consumers and businesses.",mistral-3.5
2025-0580,110673,For,0.85,"Ana Miguel Pedro is a member of the Portuguese Socialist Party (PS), which generally supports public health measures and progressive taxation. As a recast of excise duties on tobacco, this aligns with PS's stance on reducing tobacco consumption through fiscal policies.",mistral-3.5
2025-0580,111412,For,0.85,"Villy Søvndal, a member of the Danish Social Liberal Party (Radikale Venstre), has historically supported public health measures and progressive taxation. As a former minister and MEP, he aligns with EU-wide efforts to reduce tobacco consumption through fiscal policies. His party's stance on health and environmental issues suggests support for stricter excise duties on tobacco.",mistral-3.5
2025-0580,112744,For,0.85,"Tonino Picula is a member of the Socialists and Democrats (S&D) group in the European Parliament, which generally supports public health measures, including stricter tobacco regulations. As a Croatian MEP, he has historically aligned with EU-wide efforts to reduce tobacco consumption and harmonize excise duties.",mistral-3.5
2025-0580,112747,For,0.85,"Romana Jerković is a member of the Social Democratic Party of Croatia (SDP), which generally supports public health measures and progressive taxation. As a recast of excise duty on tobacco, this proposal aligns with her party's stance on reducing tobacco consumption through fiscal policies.",mistral-3.5
